hashfunction, input, result
md2,"",8350e5a3e24c153df2275c9f80692773
md2,"Test",1178f3ddf625018179a93c1a0298dfa9
md4,"",31d6cfe0d16ae931b73c59d7e0c089c0
md4,"Test",5d9381b52cd41a87bc8fcc7726aec03a
md4,"a\10",BABCC2A9C40875E8667232575784288D
MD4,"",31d6cfe0d16ae931b73c59d7e0c089c0
MD4,"a",bde52cb31de33e46245e05fbdbd6fb24
MD4,"abc",a448017aaf21d8525fc10ae87aa6729d
MD4,"message digest",d9130a8164549fe818874806e1c7014b
MD4,"abcdefghijklmnopqrstuvwxyz",d79e1c308aa5bbcdeea8ed63df412da9
MD4,"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789",043f8582f241db351ce627e153e7f0e4
MD4,"12345678901234567890123456789012345678901234567890123456789012345678901234567890",e33b4ddc9c38f2199c3e7b164fcc0536
MD5,"",d41d8cd98f00b204e9800998ecf8427e
MD5,"a",0cc175b9c0f1b6a831c399e269772661
MD5,"abc",900150983cd24fb0d6963f7d28e17f72
MD5,"message digest",f96b697d7cb7938d525a2f31aaf161d0
MD5,"abcdefghijklmnopqrstuvwxyz",c3fcd3d76192e4007dfb496cca67e13b
MD5,"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789",d174ab98d277d9f5a5611c2c9f419d9f
MD5,"12345678901234567890123456789012345678901234567890123456789012345678901234567890",57edf4a22be3c955ac49da2e2107b67a
